DiskSize,DiskType,Inputs,MachineType,NodeCount,PriceHourlyPerNode,ResponseTimes,Zone,PriceHourly,CPUPerNode,CPUs,NumberAndMachine
30,pd-standard,8911,n1-highcpu-8,2,0.312,0.45346,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15358,n1-highcpu-8,2,0.312,1.352858,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15897,n1-highcpu-8,2,0.312,1.432994,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12136,n1-highcpu-8,2,0.312,0.837464,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10057,n1-highcpu-8,2,0.312,0.586743,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9889,n1-highcpu-8,2,0.312,0.554489,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10255,n1-highcpu-8,2,0.312,0.601489,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13906,n1-highcpu-8,2,0.312,1.08805,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13065,n1-highcpu-8,2,0.312,0.962785,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10261,n1-highcpu-8,2,0.312,0.611152,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12855,n1-highcpu-8,2,0.312,0.976339,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8859,n1-highcpu-8,2,0.312,0.466985,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13390,n1-highcpu-8,2,0.312,1.027418,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10378,n1-highcpu-8,2,0.312,0.619949,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10843,n1-highcpu-8,2,0.312,0.682303,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,14786,n1-highcpu-8,2,0.312,1.230064,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11793,n1-highcpu-8,2,0.312,0.794265,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
