Inputs,ResponseTimes,DiskSize,DiskType,MachineType,NodeCount,Zone
23750,3.436361,30,pd-standard,g1-small,4,europe-west1-b
28471,8.920664,30,pd-standard,g1-small,4,europe-west1-b
32,5.642463,30,pd-standard,g1-small,4,europe-west1-b
26375,7.723988,30,pd-standard,g1-small,4,europe-west1-b
11420,4.023383,30,pd-standard,g1-small,4,europe-west1-b
9402,4.171464,30,pd-standard,g1-small,4,europe-west1-b
4170,10.393416,30,pd-standard,g1-small,4,europe-west1-b
20785,10.244952,30,pd-standard,g1-small,4,europe-west1-b
322,3.569758,30,pd-standard,g1-small,4,europe-west1-b
24958,8.812876,30,pd-standard,g1-small,4,europe-west1-b
31290,5.742806,30,pd-standard,g1-small,4,europe-west1-b
25241,10.24485,30,pd-standard,g1-small,4,europe-west1-b
