DiskSize,DiskType,Inputs,MachineType,NodeCount,PriceHourlyPerNode,ResponseTimes,Zone
30,pd-standard,16177,f1-micro,8,0.4644,2.240304,europe-west2-a
30,pd-standard,9357,f1-micro,8,0.4644,2.689218,europe-west2-a
30,pd-standard,11311,f1-micro,8,0.4644,3.744598,europe-west2-a
30,pd-standard,8885,f1-micro,8,0.4644,1.421738,europe-west2-a
30,pd-standard,9065,f1-micro,8,0.4644,5.657634,europe-west2-a
30,pd-standard,9585,f1-micro,8,0.4644,0.73831,europe-west2-a
30,pd-standard,10618,f1-micro,8,0.4644,2.237501,europe-west2-a
30,pd-standard,6813,f1-micro,8,0.4644,1.436315,europe-west2-a
30,pd-standard,9600,f1-micro,8,0.4644,2.573754,europe-west2-a
30,pd-standard,7817,f1-micro,8,0.4644,2.73729,europe-west2-a
30,pd-standard,8923,f1-micro,8,0.4644,1.173821,europe-west2-a
30,pd-standard,12799,f1-micro,8,0.4644,3.407412,europe-west2-a
30,pd-standard,12962,f1-micro,8,0.4644,10.907527,europe-west2-a
30,pd-standard,8335,f1-micro,8,0.4644,19.760372,europe-west2-a
30,pd-standard,13575,f1-micro,8,0.4644,4.382146,europe-west2-a
30,pd-standard,10045,f1-micro,8,0.4644,2.562426,europe-west2-a
30,pd-standard,11983,f1-micro,8,0.4644,2.759504,europe-west2-a
30,pd-standard,19260,f1-micro,8,0.4644,4.480614,europe-west2-a
30,pd-standard,6407,f1-micro,8,0.4644,2.141699,europe-west2-a
30,pd-standard,10292,f1-micro,8,0.4644,2.531769,europe-west2-a
30,pd-standard,14217,f1-micro,8,0.4644,2.811545,europe-west2-a
30,pd-standard,13817,f1-micro,8,0.4644,3.171649,europe-west2-a
30,pd-standard,4857,f1-micro,8,0.4644,1.480241,europe-west2-a
30,pd-standard,10851,f1-micro,8,0.4644,1.663374,europe-west2-a
30,pd-standard,12026,f1-micro,8,0.4644,7.59737,europe-west2-a
30,pd-standard,10412,f1-micro,8,0.4644,14.23627,europe-west2-a
30,pd-standard,11037,f1-micro,8,0.4644,15.514382,europe-west2-a
30,pd-standard,10431,f1-micro,8,0.4644,3.816678,europe-west2-a
30,pd-standard,8295,f1-micro,8,0.4644,1.429288,europe-west2-a
30,pd-standard,11482,f1-micro,8,0.4644,2.361454,europe-west2-a
30,pd-standard,6340,f1-micro,8,0.4644,2.979806,europe-west2-a
30,pd-standard,15848,f1-micro,8,0.4644,3.979917,europe-west2-a
30,pd-standard,7100,f1-micro,8,0.4644,2.593129,europe-west2-a
30,pd-standard,7272,f1-micro,8,0.4644,1.879267,europe-west2-a
30,pd-standard,12798,f1-micro,8,0.4644,4.532005,europe-west2-a
30,pd-standard,11894,f1-micro,8,0.4644,1.534849,europe-west2-a
30,pd-standard,5137,f1-micro,8,0.4644,1.729083,europe-west2-a
30,pd-standard,8571,f1-micro,8,0.4644,1.996076,europe-west2-a
30,pd-standard,12444,f1-micro,8,0.4644,15.418408,europe-west2-a
30,pd-standard,11678,f1-micro,8,0.4644,8.4964,europe-west2-a
30,pd-standard,5374,f1-micro,8,0.4644,12.514121,europe-west2-a
30,pd-standard,11579,f1-micro,8,0.4644,4.40956,europe-west2-a
30,pd-standard,12491,f1-micro,8,0.4644,2.562273,europe-west2-a
30,pd-standard,11571,f1-micro,8,0.4644,2.760458,europe-west2-a
30,pd-standard,11311,f1-micro,8,0.4644,4.479764,europe-west2-a
30,pd-standard,12870,f1-micro,8,0.4644,2.141643,europe-west2-a
30,pd-standard,11346,f1-micro,8,0.4644,2.533113,europe-west2-a
30,pd-standard,12462,f1-micro,8,0.4644,2.810901,europe-west2-a
30,pd-standard,8610,f1-micro,8,0.4644,3.171494,europe-west2-a
30,pd-standard,9923,f1-micro,8,0.4644,1.480547,europe-west2-a
30,pd-standard,8648,f1-micro,8,0.4644,1.662956,europe-west2-a
30,pd-standard,13231,f1-micro,8,0.4644,7.598483,europe-west2-a
30,pd-standard,6207,f1-micro,8,0.4644,14.241808,europe-west2-a
30,pd-standard,15349,f1-micro,8,0.4644,15.513657,europe-west2-a
30,pd-standard,8416,f1-micro,6,0.4128,0.69455,europe-west2-a
30,pd-standard,10010,f1-micro,6,0.4128,2.2860080000000003,europe-west2-a
30,pd-standard,11896,f1-micro,6,0.4128,3.026025,europe-west2-a
30,pd-standard,12173,f1-micro,6,0.4128,2.87727,europe-west2-a
30,pd-standard,10639,f1-micro,6,0.4128,2.8969970000000003,europe-west2-a
30,pd-standard,11162,f1-micro,6,0.4128,2.9372119999999997,europe-west2-a
30,pd-standard,7039,f1-micro,6,0.4128,2.073297,europe-west2-a
30,pd-standard,7118,f1-micro,6,0.4128,2.3427290000000003,europe-west2-a
30,pd-standard,15805,f1-micro,6,0.4128,9.499999999999999e-05,europe-west2-a
30,pd-standard,13221,f1-micro,6,0.4128,14.228145000000001,europe-west2-a
30,pd-standard,13025,f1-micro,6,0.4128,27.000625,europe-west2-a
30,pd-standard,13356,f1-micro,6,0.4128,0.000176,europe-west2-a
30,pd-standard,10697,f1-micro,6,0.4128,0.000128,europe-west2-a
30,pd-standard,4033,f1-micro,6,0.4128,0.137702,europe-west2-a
