DiskSize,DiskType,Inputs,MachineType,NodeCount,PriceHourlyPerNode,ResponseTimes,Zone
30,pd-standard,8232,f1-micro,3,0.301,1.411829,europe-west1-b
30,pd-standard,10685,f1-micro,3,0.301,1.907172,europe-west1-b
30,pd-standard,14563,f1-micro,3,0.301,3.393836,europe-west1-b
30,pd-standard,8928,f1-micro,3,0.301,1.400955,europe-west1-b
30,pd-standard,16252,f1-micro,3,0.301,5.83152,europe-west1-b
30,pd-standard,12681,f1-micro,3,0.301,2.787129,europe-west1-b
30,pd-standard,7544,f1-micro,3,0.301,15.118398,europe-west1-b
30,pd-standard,13004,f1-micro,3,0.301,10.722642,europe-west1-b
30,pd-standard,15242,f1-micro,3,0.301,24.269139,europe-west1-b
30,pd-standard,13411,f1-micro,3,0.301,2.750318,europe-west1-b
30,pd-standard,9742,f1-micro,3,0.301,2.400639,europe-west1-b
30,pd-standard,11077,f1-micro,3,0.301,2.581638,europe-west1-b
30,pd-standard,14185,f1-micro,3,0.301,2.988231,europe-west1-b
30,pd-standard,12529,f1-micro,3,0.301,4.917919,europe-west1-b
30,pd-standard,9285,f1-micro,3,0.301,11.590724,europe-west1-b
30,pd-standard,9372,f1-micro,3,0.301,13.241442,europe-west1-b
30,pd-standard,13065,f1-micro,3,0.301,17.99558,europe-west1-b
30,pd-standard,12666,f1-micro,3,0.301,13.498713,europe-west1-b
30,pd-standard,8910,f1-micro,3,0.301,3.140768,europe-west1-b
30,pd-standard,10902,f1-micro,3,0.301,2.709582,europe-west1-b
30,pd-standard,6759,f1-micro,3,0.301,2.182316,europe-west1-b
30,pd-standard,13010,f1-micro,3,0.301,3.598253,europe-west1-b
30,pd-standard,13215,f1-micro,3,0.301,4.86875,europe-west1-b
30,pd-standard,17797,f1-micro,3,0.301,11.88511,europe-west1-b
30,pd-standard,7159,f1-micro,3,0.301,18.518226,europe-west1-b
30,pd-standard,13100,f1-micro,3,0.301,18.216658,europe-west1-b
30,pd-standard,12136,f1-micro,3,0.301,2.860116,europe-west1-b
30,pd-standard,11684,f1-micro,3,0.301,2.400636,europe-west1-b
30,pd-standard,5159,f1-micro,3,0.301,2.58167,europe-west1-b
30,pd-standard,10644,f1-micro,3,0.301,2.987503,europe-west1-b
30,pd-standard,16898,f1-micro,3,0.301,4.918002,europe-west1-b
30,pd-standard,17432,f1-micro,3,0.301,11.592255,europe-west1-b
30,pd-standard,10436,f1-micro,3,0.301,13.239606,europe-west1-b
30,pd-standard,12779,f1-micro,3,0.301,17.99706,europe-west1-b
30,pd-standard,4588,f1-micro,3,0.301,13.497209,europe-west1-b
30,pd-standard,7189,f1-micro,3,0.3268,3.4535730000000004,europe-west1-b
30,pd-standard,8043,f1-micro,3,0.3268,2.1816400000000002,europe-west1-b
30,pd-standard,11434,f1-micro,3,0.3268,2.876403,europe-west1-b
30,pd-standard,11645,f1-micro,3,0.3268,2.4387119999999998,europe-west1-b
30,pd-standard,13534,f1-micro,3,0.3268,2.4935869999999998,europe-west1-b
30,pd-standard,6099,f1-micro,3,0.3268,3.379124,europe-west1-b
30,pd-standard,14662,f1-micro,3,0.3268,11.713583999999999,europe-west1-b
30,pd-standard,9630,f1-micro,3,0.3268,19.210922,europe-west1-b
30,pd-standard,11083,f1-micro,3,0.3268,15.772395999999999,europe-west1-b
30,pd-standard,12912,f1-micro,3,0.3268,2.185285,europe-west1-b
30,pd-standard,8631,f1-micro,3,0.3268,2.311342,europe-west1-b
30,pd-standard,13785,f1-micro,3,0.3268,3.268397,europe-west1-b
30,pd-standard,6327,f1-micro,3,0.3268,1.728148,europe-west1-b
30,pd-standard,8937,f1-micro,3,0.3268,2.197596,europe-west1-b
30,pd-standard,12783,f1-micro,3,0.3268,2.859656,europe-west1-b
30,pd-standard,2931,f1-micro,3,0.3268,3.449518,europe-west1-b
30,pd-standard,11177,f1-micro,3,0.3268,17.461486999999998,europe-west1-b
30,pd-standard,13896,f1-micro,3,0.3268,23.015693,europe-west1-b
30,pd-standard,7084,f1-micro,3,0.3268,11.480477,europe-west1-b
30,pd-standard,11924,f1-micro,3,0.3268,3.4342940000000004,europe-west1-b
30,pd-standard,7088,f1-micro,3,0.3268,2.181754,europe-west1-b
30,pd-standard,12339,f1-micro,3,0.3268,2.8760209999999997,europe-west1-b
30,pd-standard,8164,f1-micro,3,0.3268,2.4383209999999997,europe-west1-b
30,pd-standard,3992,f1-micro,3,0.3268,2.493832,europe-west1-b
30,pd-standard,13911,f1-micro,3,0.3268,3.379092,europe-west1-b
30,pd-standard,12257,f1-micro,3,0.3268,11.713636,europe-west1-b
30,pd-standard,11943,f1-micro,3,0.3268,19.210447,europe-west1-b
30,pd-standard,10361,f1-micro,3,0.3268,15.773369,europe-west1-b
30,pd-standard,13760,f1-micro,3,0.3268,2.900931,europe-west1-b
30,pd-standard,11962,f1-micro,3,0.3268,1.58822,europe-west1-b
30,pd-standard,11286,f1-micro,3,0.3268,2.064971,europe-west1-b
30,pd-standard,11686,f1-micro,3,0.3268,2.9479900000000003,europe-west1-b
30,pd-standard,9687,f1-micro,3,0.3268,1.743357,europe-west1-b
