DiskSize,DiskType,Inputs,MachineType,NodeCount,PriceHourlyPerNode,ResponseTimes,Zone
30,pd-standard,12902,g1-small,3,2.166,2.391353,europe-west2-a
30,pd-standard,7072,g1-small,3,2.166,3.869068,europe-west2-a
30,pd-standard,13791,g1-small,3,2.166,2.890651,europe-west2-a
30,pd-standard,11190,g1-small,3,2.166,2.946134,europe-west2-a
30,pd-standard,16300,g1-small,3,2.166,4.698737,europe-west2-a
30,pd-standard,12994,g1-small,3,2.166,4.040655,europe-west2-a
30,pd-standard,6222,g1-small,3,2.166,2.080978,europe-west2-a
30,pd-standard,11881,g1-small,3,2.166,3.848756,europe-west2-a
30,pd-standard,9584,g1-small,3,2.166,3.408283,europe-west2-a
30,pd-standard,18489,g1-small,3,2.166,5.126188,europe-west2-a
30,pd-standard,7492,g1-small,3,2.166,2.145873,europe-west2-a
30,pd-standard,13315,g1-small,3,2.166,4.267767,europe-west2-a
30,pd-standard,13108,g1-small,3,2.166,2.637995,europe-west2-a
30,pd-standard,5142,g1-small,3,2.166,4.090612,europe-west2-a
30,pd-standard,3759,g1-small,3,2.166,2.824244,europe-west2-a
30,pd-standard,7747,g1-small,3,2.166,1.79586,europe-west2-a
30,pd-standard,16782,g1-small,3,2.166,3.210039,europe-west2-a
30,pd-standard,10363,g1-small,3,2.166,2.62306,europe-west2-a
30,pd-standard,5927,g1-small,3,2.166,2.429169,europe-west2-a
30,pd-standard,9301,g1-small,3,2.166,2.477662,europe-west2-a
30,pd-standard,15290,g1-small,3,2.166,3.869551,europe-west2-a
30,pd-standard,8509,g1-small,3,2.166,2.887719,europe-west2-a
30,pd-standard,13416,g1-small,3,2.166,2.946757,europe-west2-a
30,pd-standard,17413,g1-small,3,2.166,4.698588,europe-west2-a
30,pd-standard,14615,g1-small,3,2.166,4.040297,europe-west2-a
30,pd-standard,10592,g1-small,3,2.166,2.081205,europe-west2-a
30,pd-standard,15321,g1-small,3,2.166,3.849131,europe-west2-a
30,pd-standard,14618,g1-small,3,2.166,3.409136,europe-west2-a
30,pd-standard,14403,g1-small,3,2.166,5.12603,europe-west2-a
30,pd-standard,10298,g1-small,3,2.166,2.145816,europe-west2-a
30,pd-standard,10558,g1-small,3,2.166,4.268649,europe-west2-a
30,pd-standard,10786,g1-small,3,2.166,2.637606,europe-west2-a
30,pd-standard,16116,g1-small,3,2.166,4.089311,europe-west2-a
30,pd-standard,16529,g1-small,3,2.166,2.82614,europe-west2-a
30,pd-standard,13088,g1-small,3,2.166,1.79834,europe-west2-a
30,pd-standard,7433,g1-small,3,2.166,3.210959,europe-west2-a
30,pd-standard,12058,g1-small,3,2.166,2.621131,europe-west2-a
30,pd-standard,9680,g1-small,3,2.166,2.427901,europe-west2-a
30,pd-standard,7467,g1-small,3,2.166,1.30741,europe-west2-a
30,pd-standard,10997,g1-small,3,2.166,1.731666,europe-west2-a
30,pd-standard,7633,g1-small,3,2.166,4.079178,europe-west2-a
